id,anchor_ts_ms,hedge_ts_ms,market_slug,market_duration,direction,first_ask,second_ask,executable_qty,pair_cost,net_edge_005
152078,1789804384627,1789804399656,btc-updown-5m-1789804200,5m,DOWN->UP,0.1,0.91,140.0,1.01,-0.01500000000000001
152136,1789804400479,1789804415524,btc-updown-5m-1789804200,5m,DOWN->UP,0.1,0.91,15.0,1.01,-0.01500000000000001
152194,1789804415524,1789804430542,btc-updown-5m-1789804200,5m,DOWN->UP,0.1,0.91,40.42,1.01,-0.01500000000000001
152254,1789804431172,1789804446218,btc-updown-5m-1789804200,5m,DOWN->UP,0.1,0.92,904.13,1.02,-0.02500000000000002
152314,1789804446631,1789804461644,btc-updown-5m-1789804200,5m,DOWN->UP,0.09,0.92,330.12,1.01,-0.01500000000000001
152376,1789804462094,1789804478578,btc-updown-5m-1789804200,5m,DOWN->UP,0.09,0.92,277.0,1.01,-0.01500000000000001
152430,1789804478578,1789804493610,btc-updown-5m-1789804200,5m,DOWN->UP,0.09,0.92,288.06,1.01,-0.01500000000000001
152486,1789804493990,1789804509006,btc-updown-5m-1789804200,5m,DOWN->UP,0.09,0.7,61.0,0.7899999999999999,0.20500000000000007
153362,1789804726919,1789804741930,btc-updown-5m-1789804500,5m,DOWN->UP,0.14,0.87,133.99,1.01,-0.01500000000000001
153422,1789804742259,1789804757274,btc-updown-5m-1789804500,5m,DOWN->UP,0.14,0.87,355.1,1.01,-0.01500000000000001
153480,1789804757798,1789804772818,btc-updown-5m-1789804500,5m,DOWN->UP,0.14,0.87,244.0,1.01,-0.01500000000000001
153542,1789804773614,1789804788689,btc-updown-5m-1789804500,5m,DOWN->UP,0.14,0.87,208.49,1.01,-0.01500000000000001
153600,1789804789600,1789804804693,btc-updown-5m-1789804500,5m,DOWN->UP,0.14,0.41,5.0,0.55,0.44499999999999995
155176,1789805230944,1789805246012,btc-updown-5m-1789805100,5m,DOWN->UP,0.09,0.93,306.56,1.02,-0.02500000000000002
155234,1789805246488,1789805261582,btc-updown-5m-1789805100,5m,DOWN->UP,0.08,0.93,313.87,1.01,-0.01500000000000001
155294,1789805262059,1789805277244,btc-updown-5m-1789805100,5m,DOWN->UP,0.08,0.93,206.56,1.01,-0.01500000000000001
155356,1789805277848,1789805292882,btc-updown-5m-1789805100,5m,DOWN->UP,0.08,0.93,206.56,1.01,-0.01500000000000001
155414,1789805293520,1789805308561,btc-updown-5m-1789805100,5m,DOWN->UP,0.08,0.93,5.0,1.01,-0.01500000000000001
155476,1789805309866,1789805324926,btc-updown-5m-1789805100,5m,DOWN->UP,0.08,0.95,95.6,1.03,-0.035000000000000024
155532,1789805325030,1789805340046,btc-updown-5m-1789805100,5m,DOWN->UP,0.07,0.96,142.33,1.03,-0.035000000000000024
155588,1789805340133,1789805355151,btc-updown-5m-1789805100,5m,DOWN->UP,0.06,0.96,224.57,1.02,-0.02500000000000002
155648,1789805355649,1789805370699,btc-updown-5m-1789805100,5m,DOWN->UP,0.05,0.96,309.31,1.01,-0.01500000000000001
155708,1789805371101,1789805386121,btc-updown-5m-1789805100,5m,DOWN->UP,0.05,0.96,305.31,1.01,-0.01500000000000001
155768,1789805387103,1789805402116,btc-updown-5m-1789805100,5m,DOWN->UP,0.05,0.59,207.0,0.64,0.355
156360,1789805542424,1789805557595,btc-updown-5m-1789805400,5m,DOWN->UP,0.14,0.87,133.32,1.01,-0.01500000000000001
156422,1789805558224,1789805573303,btc-updown-5m-1789805400,5m,DOWN->UP,0.14,0.88,413.22,1.02,-0.02500000000000002
156480,1789805573854,1789805588896,btc-updown-5m-1789805400,5m,DOWN->UP,0.13,0.88,24.84,1.01,-0.01500000000000001
156542,1789805589819,1789805604862,btc-updown-5m-1789805400,5m,DOWN->UP,0.13,0.88,73.02,1.01,-0.01500000000000001
156598,1789805605838,1789805620852,btc-updown-5m-1789805400,5m,DOWN->UP,0.13,0.89,101.0,1.02,-0.02500000000000002
156658,1789805621581,1789805636625,btc-updown-5m-1789805400,5m,DOWN->UP,0.12,0.9,154.25,1.02,-0.02500000000000002
156720,1789805637244,1789805652370,btc-updown-5m-1789805400,5m,DOWN->UP,0.11,0.91,262.74,1.02,-0.02500000000000002
156778,1789805652998,1789805668006,btc-updown-5m-1789805400,5m,DOWN->UP,0.1,0.91,168.32,1.01,-0.01500000000000001
156836,1789805668006,1789805683032,btc-updown-5m-1789805400,5m,DOWN->UP,0.1,0.91,171.08,1.01,-0.01500000000000001
156896,1789805683472,1789805701457,btc-updown-5m-1789805400,5m,DOWN->UP,0.1,0.39,273.69,0.49,0.505
158260,1789806077239,1789806092252,btc-updown-5m-1789806000,5m,DOWN->UP,0.06,0.94,12.0,1.0,-0.005
158318,1789806093481,1789806108503,btc-updown-5m-1789806000,5m,DOWN->UP,0.07,0.94,181.0,1.01,-0.01500000000000001
158372,1789806109665,1789806124685,btc-updown-5m-1789806000,5m,DOWN->UP,0.07,0.94,271.64,1.01,-0.01500000000000001
158432,1789806125455,1789806140489,btc-updown-5m-1789806000,5m,DOWN->UP,0.07,0.94,106.0,1.01,-0.01500000000000001
158486,1789806140489,1789806155529,btc-updown-5m-1789806000,5m,DOWN->UP,0.07,0.96,190.0,1.03,-0.035000000000000024
158546,1789806156381,1789806171514,btc-updown-5m-1789806000,5m,DOWN->UP,0.07,0.97,464.48,1.04,-0.04500000000000003
158604,1789806171514,1789806186522,btc-updown-5m-1789806000,5m,DOWN->UP,0.05,0.97,389.27,1.02,-0.02500000000000002
158664,1789806187390,1789806202512,btc-updown-5m-1789806000,5m,DOWN->UP,0.04,0.97,55.22,1.01,-0.01500000000000001
158718,1789806203242,1789806218255,btc-updown-5m-1789806000,5m,DOWN->UP,0.04,0.97,103.88,1.01,-0.01500000000000001
158778,1789806219152,1789806234194,btc-updown-5m-1789806000,5m,DOWN->UP,0.04,0.98,527.4,1.02,-0.02500000000000002
162044,1789807145187,1789807160223,btc-updown-5m-1789806900,5m,DOWN->UP,0.03,0.98,301.32,1.01,-0.01500000000000001
162102,1789807160877,1789807175935,btc-updown-5m-1789806900,5m,DOWN->UP,0.03,0.98,352.98,1.01,-0.01500000000000001
162162,1789807176399,1789807191446,btc-updown-5m-1789806900,5m,DOWN->UP,0.03,0.98,266.7,1.01,-0.01500000000000001
162222,1789807192027,1789807207138,btc-updown-5m-1789806900,5m,DOWN->UP,0.03,0.4,49.99,0.43000000000000005,0.565
164320,1789807740692,1789807755835,btc-updown-5m-1789807500,5m,DOWN->UP,0.06,0.95,77.0,1.01,-0.01500000000000001
164380,1789807756236,1789807771270,btc-updown-5m-1789807500,5m,DOWN->UP,0.06,0.95,67.0,1.01,-0.01500000000000001
164440,1789807772004,1789807787035,btc-updown-5m-1789807500,5m,DOWN->UP,0.06,0.95,47.97,1.01,-0.01500000000000001
164500,1789807787893,1789807802923,btc-updown-5m-1789807500,5m,DOWN->UP,0.06,0.5,5.0,0.56,0.43499999999999994
167560,1789808614267,1789808629300,btc-updown-5m-1789808400,5m,DOWN->UP,0.07,0.94,91.72,1.01,-0.01500000000000001
167620,1789808629850,1789808644866,btc-updown-5m-1789808400,5m,DOWN->UP,0.07,0.93,84.0,1.0,-0.005
167680,1789808645270,1789808660309,btc-updown-5m-1789808400,5m,DOWN->UP,0.08,0.93,328.55,1.01,-0.01500000000000001
167740,1789808661188,1789808676201,btc-updown-5m-1789808400,5m,DOWN->UP,0.08,0.93,218.27,1.01,-0.01500000000000001
167800,1789808676608,1789808691648,btc-updown-5m-1789808400,5m,DOWN->UP,0.08,0.93,109.14,1.01,-0.01500000000000001
167860,1789808692102,1789808707134,btc-updown-5m-1789808400,5m,DOWN->UP,0.08,0.5,232.16,0.58,0.41500000000000004
168404,1789808834562,1789808849578,btc-updown-5m-1789808700,5m,DOWN->UP,0.08,0.93,488.79,1.01,-0.01500000000000001
168464,1789808850009,1789808865055,btc-updown-5m-1789808700,5m,DOWN->UP,0.08,0.93,434.79,1.01,-0.01500000000000001
168524,1789808865438,1789808880482,btc-updown-5m-1789808700,5m,DOWN->UP,0.08,0.93,326.88,1.01,-0.01500000000000001
168584,1789808880928,1789808896279,btc-updown-5m-1789808700,5m,DOWN->UP,0.08,0.93,306.82,1.01,-0.01500000000000001
168640,1789808896758,1789808911825,btc-updown-5m-1789808700,5m,DOWN->UP,0.08,0.93,455.25,1.01,-0.01500000000000001
168690,1789808913196,1789808928217,btc-updown-5m-1789808700,5m,DOWN->UP,0.08,0.93,378.25,1.01,-0.01500000000000001
168748,1789808928513,1789808943685,btc-updown-5m-1789808700,5m,DOWN->UP,0.08,0.93,350.82,1.01,-0.01500000000000001
168800,1789808943933,1789808958940,btc-updown-5m-1789808700,5m,DOWN->UP,0.08,0.93,510.67,1.01,-0.01500000000000001
171788,1789809820251,1789809835290,btc-updown-5m-1789809600,5m,DOWN->UP,0.02,0.99,99.0,1.01,-0.01500000000000001
171848,1789809835939,1789809850985,btc-updown-5m-1789809600,5m,DOWN->UP,0.02,0.99,85.37,1.01,-0.01500000000000001
171908,1789809851813,1789809866851,btc-updown-5m-1789809600,5m,DOWN->UP,0.02,0.99,85.37,1.01,-0.01500000000000001
171966,1789809867060,1789809882085,btc-updown-5m-1789809600,5m,DOWN->UP,0.02,0.98,20.37,1.0,-0.005
172026,1789809882847,1789809897874,btc-updown-5m-1789809600,5m,DOWN->UP,0.03,0.98,315.2,1.01,-0.01500000000000001
172084,1789809898574,1789809913592,btc-updown-5m-1789809600,5m,DOWN->UP,0.03,0.62,97.77,0.65,0.345
176838,1789811223161,1789811238196,btc-updown-5m-1789811100,5m,DOWN->UP,0.04,0.97,343.0,1.01,-0.01500000000000001
176898,1789811239227,1789811254256,btc-updown-5m-1789811100,5m,DOWN->UP,0.04,0.97,145.0,1.01,-0.01500000000000001
176956,1789811254608,1789811269647,btc-updown-5m-1789811100,5m,DOWN->UP,0.04,0.97,195.0,1.01,-0.01500000000000001
177018,1789811270468,1789811285510,btc-updown-5m-1789811100,5m,DOWN->UP,0.04,0.97,406.42,1.01,-0.01500000000000001
